,name,planet_mass,stellar_magnitude,planet_type,planet_radius,eccentricity
0,11 Comae Berenices b,19.4 Jupiters,4.74,Gas Giant,1.08 x Jupiter,0.23
1,11 Ursae Minoris b,14.74 Jupiters,5.016,Gas Giant,1.09 x Jupiter,0.08
2,14 Andromedae b,4.8 Jupiters,5.227,Gas Giant,1.15 x Jupiter,0
3,14 Herculis b,4.66 Jupiters,6.61,Gas Giant,1.15 x Jupiter,0.37
4,16 Cygni B b,1.78 Jupiters,6.25,Gas Giant,1.2 x Jupiter,0.68
5,18 Delphini b,10.3 Jupiters,5.506,Gas Giant,1.11 x Jupiter,0.08
6,1RXS J160929.1-210524 b,8 Jupiters,12.057,Gas Giant,1.664 x Jupiter,0
7,24 Bootis b,0.91 Jupiters,5.58,Gas Giant,1.24 x Jupiter,0.04
8,24 Sextantis b,1.99 Jupiters,6.441,Gas Giant,1.19 x Jupiter,0.09
9,24 Sextantis c,0.86 Jupiters,6.441,Gas Giant,1.24 x Jupiter,0.29
10,2MASS J01033563-5515561 AB b,13 Jupiters,,Gas Giant,1.1 x Jupiter,0
11,2MASS J01225093-2439505 b,24.5 Jupiters,14.24,Gas Giant,1.0 x Jupiter,0
12,2MASS J02192210-3925225 b,13.9 Jupiters,15.012,Gas Giant,1.44 x Jupiter,0
13,2MASS J04414489+2301513 b,7.5 Jupiters,18.967,Gas Giant,1.13 x Jupiter,0
14,2MASS J12073346-3932539 b,4 Jupiters,20.15,Gas Giant,1.16 x Jupiter,0
15,2MASS J19383260+4603591 b,1.9 Jupiters,12.138,Gas Giant,1.2 x Jupiter,0
16,2MASS J21402931+1625183 A b,20.95 Jupiters,17.396,Gas Giant,0.92 x Jupiter,0.26
17,2MASS J22362452+4751425 b,12.5 Jupiters,12.51,Gas Giant,1.1 x Jupiter,0
18,30 Arietis B b,13.82 Jupiters,6.962,Gas Giant,1.1 x Jupiter,0.29
19,42 Draconis b,3.88 Jupiters,4.82,Gas Giant,1.16 x Jupiter,0.38
20,47 Ursae Majoris b,2.53 Jupiters,5.05,Gas Giant,1.18 x Jupiter,0.03
21,47 Ursae Majoris c,0.54 Jupiters,5.05,Gas Giant,1.27 x Jupiter,0.1
22,47 Ursae Majoris d,1.64 Jupiters,5.05,Gas Giant,1.2 x Jupiter,0.16
23,4 Ursae Majoris b,7.1 Jupiters,4.61,Gas Giant,1.13 x Jupiter,0.43
24,51 Eridani b,2 Jupiters,5.23,Gas Giant,1.19 x Jupiter,0.45
25,51 Pegasi b,0.46 Jupiters,5.5,Gas Giant,1.27 x Jupiter,0.01
26,55 Cancri b,0.8306 Jupiters,5.96,Gas Giant,1.24 x Jupiter,0
27,55 Cancri c,0.1714 Jupiters,5.96,Gas Giant,0.76 x Jupiter,0.02
28,55 Cancri d,3.878 Jupiters,5.96,Gas Giant,1.16 x Jupiter,0.02
29,55 Cancri e,8.08 Earths,5.96,Super Earth,1.91 x Earth,0.03
30,55 Cancri f,0.141 Jupiters,5.96,Gas Giant,0.677 x Jupiter,0.31
31,61 Virginis b,5.1 Earths,4.74,Neptune-like,2.11 x Earth,0.12
32,61 Virginis c,18.2 Earths,4.74,Neptune-like,0.398 x Jupiter,0.14
33,61 Virginis d,22.9 Earths,4.74,Neptune-like,0.456 x Jupiter,0.35
34,6 Lyncis b,2.01 Jupiters,5.86,Gas Giant,1.19 x Jupiter,0.07
35,70 Virginis b,7.49 Jupiters,4.97,Gas Giant,1.13 x Jupiter,0.4
